id,community,street,average_price,build_time,floor,room_shape,latitude,longitude,distance,school_num,bus_num,shop_num,hospital_num,work_num,subway_num
2003,东贸国际花园,周边-燕郊 燕郊经济技术开发区长安街向东，长安街东京哈高速出口北侧燕郊经济技术开发区绿岛建材城对面,25000,2013,中层(共27层),1室1厅,39.914253,116.403393,97.9,2,8,0,2,0,2
2075,保利中央公园,"朝阳-望京 朝阳区望京,东至东五环,南至大望京6号路(望京东路),西至望京中环路,北至大望京街",106749,2014,中层(共25层),4室2厅,40.003081,116.486588,12061.3,23,15,6,30,49,1
8,马甸南村,西城-德胜门 德胜门外大街,105820,1991,低层(共6层),2室1厅,39.957107,116.387652,4885.1,33,15,1,30,35,1
6,北京方向,丰台- 西南四环科丰桥向南1000米路东,63445,2003,中层(共19层),3室1厅,39.851918,116.310429,10627.6,19,10,4,12,15,2
9,首城国际中心,朝阳-双井 广渠路双井桥向东约600米,79545,2010,低层(共28层),2室1厅,39.904957,116.45556,4537.3,30,8,1,22,49,1
18,国瑞城,崇文-崇文门 崇文门外大街与西花市大街交汇处,92727,2008,中层(共10层),3室2厅,39.907086,116.428209,2244.5,40,21,11,48,50,2
12,京贸国际城,通州-武夷花园 新华大街芙蓉路交叉口西北角500米,63249,2011,高层(共35层),2室1厅,39.920289,116.701963,25417.9,14,12,2,8,9,0
14,国美第一城,朝阳-朝青 青年路西里115号,52816,2006,中层(共28层),3室2厅,39.940397,116.522734,10511.0,21,6,3,8,36,0
20,颐慧佳园,海淀-四季青 蓝靛厂南路西侧,89542,2005,低层(共9层),2室1厅,39.962464,116.29464,10713.8,27,7,10,29,34,1
3,光大名筑,朝阳-亚运村小营 北四环亚运村北苑路178号,71115,2004,高层(共9层),4室2厅,40.000284,116.426368,9672.9,47,17,16,32,48,1
11,首邑溪谷,大兴-黄村 黄村新城北区22号地,57446,2011,中层(共16层),2室1厅,39.679181,116.375673,26333.3,0,5,0,0,0,0
13,东亚五环国际,大兴-旧宫 镇政府南1.5公里,28260,2013,高层(共19层),2室2厅,39.714327,116.443011,22561.2,1,2,0,1,0,0
2,红木林,大兴-黄村 枣园站A出口向西350米,52571,2010,中层(共25层),2室1厅,39.759234,116.334701,18303.2,38,20,4,20,15,2
4,星河湾,朝阳-朝青 朝阳北路与四季星河路交汇处,65343,2006,高层(共16层),5室3厅,39.933116,116.532247,11120.2,13,11,13,19,18,1
22,广阳郡九号,房山-长阳 长虹东路与清苑南街交叉口,43165,2015,中层(共12层),3室2厅,39.7292,116.201605,26937.0,0,9,0,1,0,0
19,金汉绿港,顺义-顺义城 前东街东兴路,38551,2000,中层(共18层),3室2厅,40.141295,116.667969,33739.0,20,19,1,42,10,1
7,康家园,朝阳-四惠 四惠东地铁站,51196,2001,中层(共18层),2室1厅,39.91424,116.522522,10108.7,16,9,15,11,50,1
21,望京新城,朝阳-望京 望京街,60948,1997,低层(共30层),2室1厅,40.003081,116.486588,12061.3,23,15,6,31,49,1
23,京贸国际城,通州-武夷花园 新华大街芙蓉路交叉口西北角500米,70422,2011,低层(共35层),2室2厅,39.920289,116.701963,25417.9,14,12,2,8,3,0
2305,诗景长安,石景山-鲁谷 石景山鲁谷南路半月园公园两侧,51724,2010,高层(共27层),1室1厅,39.910627,116.25088,13068.5,35,18,0,19,14,2
29,红木林,大兴-黄村 枣园站A出口向西350米,63380,2013,低层(共21层),2室1厅,39.759234,116.334701,18303.2,38,20,1,20,5,2
30,政馨园三区,丰台-宋家庄 丰台永外宋家庄顺八条4号,38586,2003,高层(共22层),2室1厅,39.852628,116.436501,7469.3,22,13,6,16,34,1
36,金地仰山,大兴-黄村 兴盛街,47222,2012,低层(共9层),3室2厅,39.760527,116.324406,18472.1,28,25,1,13,3,0
33,永乐小区,"石景山-永乐 鲁谷路与鲁谷大街路口南路东,",43220,1980,高层(共6层),2室1厅,39.909599,116.235752,14362.4,24,19,4,17,32,1
34,怡景园,朝阳-朝阳门外 朝外大街怡景园北里,59997,2003,低层(共18层),3室2厅,39.927168,116.447936,3983.6,22,12,18,50,49,1
35,永定路西里小区,海淀-五棵松 永定路路口西南角,70169,1988,中层(共17层),3室1厅,39.916132,116.277952,10750.8,15,16,8,49,20,1
37,紫金长安,海淀-五棵松 玉渊潭乡五棵松西翠路17号,94001,2007,中层(共18层),4室2厅,39.923797,116.288415,9905.6,24,15,7,24,16,0
38,建邦枫景,丰台-岳各庄 丰台区双林南路108号,52380,2010,高层(共9层),2室2厅,39.878193,116.267083,12376.6,5,11,0,2,5,0
41,远洋山水,石景山-鲁谷 长安街西延长线玉泉路路口西南侧;石景山玉泉路地铁口南400米,60937,2006,低层(共26层),2室1厅,39.910627,116.25088,13068.5,35,18,0,19,15,2
39,上林溪,海淀-上地 安宁庄东路,70689,2011,中层(共11层),3室2厅,40.041169,116.321306,15699.4,22,21,2,13,49,1
45,天伦锦城,丰台-新发地 新发地中央批发市场西侧,42500,2007,低层(共13层),1室1厅,39.828496,116.345765,10826.8,12,6,0,10,5,0
42,椿树园,宣武-宣武门 西草厂街椿树园小区,88686,1998,低层(共14层),3室1厅,39.900514,116.385443,2258.3,30,17,7,22,31,4
43,永乐小区,"石景山-永乐 鲁谷路与鲁谷大街路口南路东,",46621,1989,高层(共18层),3室1厅,39.909599,116.235752,14362.4,24,19,4,17,32,1
46,温哥华森林,昌平-北七家 北七家镇东沙各庄,28368,2007,共3层,5室3厅,40.134547,116.409802,24417.5,13,2,1,6,3,0
47,晴翠园,朝阳-来广营 金盏乡温榆河畔，紧邻机场高速苇沟出口,97646,2006,共3层,5室3厅,40.022323,116.593336,20068.8,2,1,0,0,0,0
48,启迪香山,石景山-八大处 石景山香山南路28号,57083,2016,高层(共9层),2室2厅,39.975729,116.215354,17442.0,6,4,0,1,1,0
27,新龙城,昌平-回龙观 龙泽苑城铁站南侧200米,54561,2006,中层(共12层),2室1厅,40.080957,116.375114,18616.9,12,11,1,19,7,2
26,南新园,朝阳-华威桥 松榆南路,48570,1995,低层(共6层),2室1厅,39.877085,116.474369,7335.7,39,19,2,29,31,1
28,展览路小区,西城-阜成门 展览路31号，西城区展览路,87557,1999,中层(共18层),2室1厅,39.931767,116.350363,4939.3,34,15,3,32,38,1
2306,石园东区,顺义-顺义城 石园大街顺平路南集汇大街北侧,31578,1998,高层(共6层),2室1厅,40.118231,116.67183,32107.6,9,24,3,30,8,0
